"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Desktop commands","Capture","Ctrl+Alt+Insert","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Navigate","Beans Quick Cross References","Shift+Alt+G","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Views","Show View (Declaration)","Shift+Alt+Q D","JavaScript View"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing JavaScript Source"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing JavaScript Source"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Edit","Move to back","Ctrl+PageDown","In Windows"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing JavaScript Source"
